// Req. No.,Function Code,Master Device Address (Data Address),Data Size (Number of 16 bit registers),Slave Number (Modbus Slave Address),Modbus Slave Address (Data Address)
1,3,D5000,2,1,400001,analog_output0
2,16,D5000,2,1,400001,analog_output0
1,3,D5002,2,2,400001,analog_output0
2,16,D5002,2,2,400001,analog_output0
1,3,D5004,2,3,400001,analog_output0
2,16,D5004,2,3,400001,analog_output0
1,3,D5006,2,4,400001,analog_output0
2,16,D5006,2,4,400001,analog_output0
1,3,D5008,2,5,400001,analog_output0
2,16,D5008,2,5,400001,analog_output0
1,3,D5010,2,6,400001,analog_output0
2,16,D5010,2,6,400001,analog_output0
1,3,D5012,2,1,400003,analog_output1
2,16,D5012,2,1,400003,analog_output1
1,3,D5014,2,2,400003,analog_output1
2,16,D5014,2,2,400003,analog_output1
1,3,D5016,2,3,400003,analog_output1
2,16,D5016,2,3,400003,analog_output1
1,3,D5018,2,4,400003,analog_output1
2,16,D5018,2,4,400003,analog_output1
1,3,D5020,2,5,400003,analog_output1
2,16,D5020,2,5,400003,analog_output1
1,3,D5022,2,6,400003,analog_output1
2,16,D5022,2,6,400003,analog_output1
1,3,D5024,2,1,400005,isp_mode
2,16,D5024,2,1,400005,isp_mode
1,3,D5026,2,2,400005,isp_mode
2,16,D5026,2,2,400005,isp_mode
1,3,D5028,2,3,400005,isp_mode
2,16,D5028,2,3,400005,isp_mode
1,3,D5030,2,4,400005,isp_mode
2,16,D5030,2,4,400005,isp_mode
1,3,D5032,2,5,400005,isp_mode
2,16,D5032,2,5,400005,isp_mode
1,3,D5034,2,6,400005,isp_mode
2,16,D5034,2,6,400005,isp_mode
1,3,D5036,2,1,400007,slave_address_unlock
2,16,D5036,2,1,400007,slave_address_unlock
1,3,D5038,2,2,400007,slave_address_unlock
2,16,D5038,2,2,400007,slave_address_unlock
1,3,D5040,2,3,400007,slave_address_unlock
2,16,D5040,2,3,400007,slave_address_unlock
1,3,D5042,2,4,400007,slave_address_unlock
2,16,D5042,2,4,400007,slave_address_unlock
1,3,D5044,2,5,400007,slave_address_unlock
2,16,D5044,2,5,400007,slave_address_unlock
1,3,D5046,2,6,400007,slave_address_unlock
2,16,D5046,2,6,400007,slave_address_unlock
1,3,D5048,1,1,400009,slave_address
2,16,D5048,1,1,400009,slave_address
1,3,D5049,1,2,400009,slave_address
2,16,D5049,1,2,400009,slave_address
1,3,D5050,1,3,400009,slave_address
2,16,D5050,1,3,400009,slave_address
1,3,D5051,1,4,400009,slave_address
2,16,D5051,1,4,400009,slave_address
1,3,D5052,1,5,400009,slave_address
2,16,D5052,1,5,400009,slave_address
1,3,D5053,1,6,400009,slave_address
2,16,D5053,1,6,400009,slave_address
1,3,D5054,2,1,400011,clear_faults
2,16,D5054,2,1,400011,clear_faults
1,3,D5056,2,2,400011,clear_faults
2,16,D5056,2,2,400011,clear_faults
1,3,D5058,2,3,400011,clear_faults
